created_at,user_ID,review_ID,latitude,longitude,location_ID,friend_count,follower_count,sad,happy,surprise,disgust,joy
Thu Jan 30 06:05:37 +0000 2020,86205,16,40.72852712,-73.99686813,193372,######,#####################,0.421,0.499,0.493,0.42,0.274
Thu Jan 30 06:15:18 +0000 2020,103782,17,40.7417467,-73.99342143,105068,######,############,0.468,0.373,0.402,0.369,0.394
Thu Jan 30 06:12:18 +0000 2020,53217,18,40.73419338,-74.00416353,34817,#####,######################,0.598,0.393,0.367,0.295,0.479
Thu Jan 30 06:08:11 +0000 2020,22209,19,40.74251159,-74.00603056,27836,#####,#####################,0.59,0.359,0.28,0.338,0.433
Thu Jan 30 06:12:51 +0000 2020,45097,20,40.74239617,-74.00754333,15079,#####,###########,0.467,0.302,0.302,0.277,0.314
Thu Jan 30 06:15:29 +0000 2020,47306,21,40.74239617,-74.00754333,15079,#####,######################,0.29,0.539,0.811,0.557,0.251
Thu Jan 30 06:15:00 +0000 2020,142166,22,40.73588474,-74.0049684,22806,######,###########,0.456,0.476,0.45,0.439,0.36
Thu Jan 30 06:19:52 +0000 2020,124586,23,40.72752535,-73.98539901,136590,#####,#####################,0.375,0.55,0.534,0.451,0.199
Thu Jan 30 06:03:09 +0000 2020,93547,24,40.75687997,-73.98622513,11844,####,############,0.514,0.473,0.417,0.353,0.4
Thu Jan 30 05:55:42 +0000 2020,5879,25,40.70741722,-74.01136279,11742,#####,######################,0.518,0.343,0.342,0.392,0.284
Thu Jan 30 06:11:15 +0000 2020,130174,26,40.70717272,-74.01054543,19822,######,############,0.54,0.433,0.542,0.448,0.402
Thu Jan 30 06:17:44 +0000 2020,54635,27,40.70707082,-74.01195287,15169,#####,###########,0.388,0.53,0.433,0.417,0.301
Thu Jan 30 06:07:31 +0000 2020,48261,28,40.70582314,-73.99669647,11794,######,###########,0.429,0.464,0.463,0.464,0.373
Thu Jan 30 06:10:37 +0000 2020,19231,29,40.76937804,-73.96308303,156783,####,######################,0.514,0.376,0.33,0.322,0.358
Thu Jan 30 06:14:37 +0000 2020,67192,30,40.78080546,-73.97647262,35513,#####,############,0.409,0.503,0.596,0.53,0.305
Thu Jan 30 06:13:48 +0000 2020,10842,31,40.73172433,-74.00333762,87914,#####,###########,0.413,0.567,0.463,0.456,0.257
Thu Jan 30 06:09:27 +0000 2020,33023,32,40.73086864,-73.99756551,16397,#####,######################,0.581,0.391,0.448,0.377,0.463
Thu Jan 30 06:01:22 +0000 2020,76287,33,40.74220108,-73.98799539,17710,#####,###########,0.395,0.492,0.53,0.488,0.283
Thu Jan 30 05:57:43 +0000 2020,74055,34,40.74581014,-73.98822069,60450,#####,##########,0.45,0.468,0.451,0.383,0.342
Thu Jan 30 06:08:09 +0000 2020,67774,35,40.74844366,-73.9857316,12313,#####,######################,0.571,0.326,0.332,0.308,0.423
Thu Jan 30 06:17:07 +0000 2020,43691,36,40.75150762,-73.9755,34484,#####,#####################,0.401,0.616,0.539,0.499,0.3
Thu Jan 30 05:57:34 +0000 2020,138115,37,40.64388454,-73.7828064,23261,#####,#####################,0.603,0.407,0.389,0.332,0.504
Thu Jan 30 06:12:43 +0000 2020,51294,38,30.26910295,-97.74939537,420315,#####,####################,0.296,0.609,0.536,0.517,0.167
Thu Jan 30 06:16:27 +0000 2020,115163,39,30.23164972,-97.80017142,49215,#####,######################,0.381,0.533,0.301,0.332,0.291
Thu Jan 30 06:20:11 +0000 2020,3408,40,30.24536132,-97.77909278,16431,#####,#####################,0.298,0.586,0.663,0.534,0.204
Thu Jan 30 05:55:47 +0000 2020,15737,41,30.26910295,-97.74939537,420315,#####,##########,0.334,0.569,0.539,0.476,0.179
Thu Jan 30 05:58:00 +0000 2020,3403,42,30.26790958,-97.74931242,21714,#####,######################,0.53,0.352,0.328,0.32,0.296
Thu Jan 30 06:01:38 +0000 2020,67767,43,30.24485972,-97.75716305,18417,#####,#####################,0.323,0.59,0.467,0.442,0.214
Thu Jan 30 05:54:51 +0000 2020,13961,44,30.40530401,-97.8783989,115111,#####,###########,0.444,0.508,0.375,0.436,0.295
Thu Jan 30 06:08:14 +0000 2020,20383,45,30.2558144,-97.76341796,425613,#####,###################,0.429,0.391,0.372,0.389,0.266
Thu Jan 30 06:01:01 +0000 2020,22487,46,30.26790958,-97.74931242,21714,#####,############,0.316,0.564,0.643,0.536,0.214
Thu Jan 30 06:14:04 +0000 2020,107177,47,30.26433627,-97.74104613,211286,#####,############,0.494,0.444,0.508,0.386,0.294
Thu Jan 30 06:21:31 +0000 2020,11728,48,30.2379105,-97.79996073,539065,####,#####################,0.355,0.466,0.641,0.553,0.277
Thu Jan 30 06:19:06 +0000 2020,16555,49,30.23137457,-97.79745475,15590,#####,############,0.378,0.497,0.552,0.445,0.3
Thu Jan 30 06:12:27 +0000 2020,76211,50,30.26910295,-97.74939537,420315,#####,############,0.31,0.574,0.578,0.54,0.212
Thu Jan 30 06:00:33 +0000 2020,70399,51,30.25061798,-97.76589966,121955,#####,##########,0.424,0.487,0.56,0.448,0.306
Thu Jan 30 05:56:13 +0000 2020,74477,52,30.244761,-97.74896103,25151,####,######################,0.533,0.383,0.486,0.37,0.43
Thu Jan 30 06:16:45 +0000 2020,128030,53,30.31701576,-97.71956921,114556,######,####################,0.39,0.45,0.338,0.392,0.263
Thu Jan 30 06:06:49 +0000 2020,27899,54,30.26910295,-97.74939537,420315,######,##########,0.374,0.527,0.673,0.478,0.255
Thu Jan 30 06:05:39 +0000 2020,12031,55,30.26790958,-97.74931242,21714,#####,############,0.356,0.499,0.551,0.484,0.297
Thu Jan 30 06:01:45 +0000 2020,13877,56,30.26540569,-97.74779141,46946,#####,###########,0.468,0.44,0.284,0.285,0.265
Thu Jan 30 05:58:56 +0000 2020,9745,57,30.26790958,-97.74931242,21714,#####,#####################,0.341,0.473,0.579,0.552,0.307
Thu Jan 30 06:18:46 +0000 2020,12201,58,30.26790958,-97.74931242,21714,######,##########,0.454,0.501,0.56,0.479,0.27
Thu Jan 30 05:56:53 +0000 2020,38334,59,30.24646077,-97.75078818,24276,######,###########,0.407,0.446,0.633,0.435,0.247
Thu Jan 30 06:16:14 +0000 2020,141421,60,30.2698105,-97.74897025,384271,###,#####################,0.4,0.469,0.536,0.436,0.254
Thu Jan 30 05:56:17 +0000 2020,68423,61,30.26910295,-97.74939537,420315,#####,###########,0.337,0.494,0.502,0.468,0.252
Thu Jan 30 06:17:37 +0000 2020,28811,62,39.0442361,-94.62074339,17602,#####,####################,0.48,0.376,0.414,0.362,0.341
Thu Jan 30 05:56:27 +0000 2020,139171,63,38.99277608,-94.5952756,17236,#####,###########,0.453,0.402,0.387,0.393,0.321
Thu Jan 30 05:54:44 +0000 2020,59066,64,39.04105295,-94.59473938,8964,######,###########,0.512,0.406,0.32,0.311,0.42
Thu Jan 30 05:57:55 +0000 2020,64051,65,39.05282377,-94.59031105,8938,######,############,0.67,0.224,0.19,0.214,0.541
Thu Jan 30 06:15:26 +0000 2020,61181,66,38.93469355,-94.62979317,19224,#####,######################,0.734,0.284,0.178,0.27,0.63
Thu Jan 30 06:18:01 +0000 2020,38591,67,39.05703548,-94.60375412,157923,#####,######################,0.567,0.375,0.378,0.322,0.454
Thu Jan 30 05:49:00 +0000 2020,69450,68,39.05733353,-94.6061795,18329,#####,###########,0.313,0.574,0.59,0.541,0.23
Thu Jan 30 05:28:02 +0000 2020,72308,69,39.05067117,-94.59806878,17526,#####,##########,0.445,0.474,0.546,0.435,0.311
Thu Jan 30 05:33:32 +0000 2020,4858,70,37.76623674,-96.98147893,232292,#####,##########,0.511,0.341,0.345,0.318,0.355
Thu Jan 30 05:31:44 +0000 2020,10725,71,34.18564603,-97.16569783,64830,#####,#####################,0.403,0.517,0.463,0.445,0.183
Thu Jan 30 05:41:37 +0000 2020,126013,72,30.26910295,-97.74939537,420315,######,############,0.313,0.461,0.566,0.587,0.23
Thu Jan 30 05:40:20 +0000 2020,139044,73,30.26910295,-97.74939537,420315,######,#####################,0.427,0.402,0.546,0.412,0.241
Thu Jan 30 05:50:56 +0000 2020,103916,74,30.26910295,-97.74939537,420315,######,############,0.528,0.336,0.222,0.266,0.371
Thu Jan 30 05:52:44 +0000 2020,119607,75,30.26377477,-97.77065992,9263,#####,############,0.515,0.378,0.358,0.268,0.377
Thu Jan 30 05:39:44 +0000 2020,43978,76,30.23421407,-97.75757073,157609,#####,###########,0.458,0.487,0.469,0.389,0.324
Thu Jan 30 05:45:14 +0000 2020,58039,77,30.24485972,-97.75716305,18417,#####,###########,0.273,0.694,0.562,0.576,0.186
Thu Jan 30 05:43:10 +0000 2020,22881,78,30.26689064,-97.74568588,9223,######,#####################,0.379,0.407,0.422,0.368,0.285
Thu Jan 30 05:39:54 +0000 2020,96219,79,30.2686964,-97.7456148,9313,#####,#####################,0.436,0.405,0.501,0.407,0.254
Thu Jan 30 05:40:48 +0000 2020,111786,80,30.31015266,-97.74015784,106782,######,###########,0.408,0.449,0.57,0.456,0.272
Thu Jan 30 05:48:25 +0000 2020,154095,81,30.24485972,-97.75716305,18417,#####,############,0.6,0.303,0.239,0.272,0.451
Thu Jan 30 05:31:23 +0000 2020,74472,82,30.26910295,-97.74939537,420315,######,###########,0.488,0.46,0.421,0.396,0.329
Thu Jan 30 05:43:13 +0000 2020,46038,83,30.26790958,-97.74931242,21714,#####,############,0.316,0.446,0.47,0.505,0.166
Thu Jan 30 05:53:45 +0000 2020,64707,84,30.26485415,-97.74384538,480992,#####,############,0.518,0.42,0.441,0.353,0.376
Thu Jan 30 05:37:41 +0000 2020,19372,85,30.25099397,-97.74896622,9508,######,############,0.282,0.592,0.512,0.598,0.128
Thu Jan 30 05:33:11 +0000 2020,39325,86,30.24485972,-97.75716305,18417,#####,###########,0.331,0.574,0.539,0.471,0.291
Thu Jan 30 05:40:46 +0000 2020,103228,87,30.26377477,-97.77065992,9263,#####,###########,0.506,0.321,0.343,0.303,0.375
Thu Jan 30 05:29:48 +0000 2020,61608,88,30.31091174,-97.74288674,258760,#####,##########,0.363,0.511,0.44,0.477,0.186
Thu Jan 30 05:37:31 +0000 2020,160430,89,30.31095928,-97.74269296,258702,######,#####################,0.4,0.449,0.533,0.417,0.295
Thu Jan 30 05:32:49 +0000 2020,100640,90,30.31104325,-97.74291515,11934,#####,##########,0.46,0.498,0.369,0.396,0.322
Thu Jan 30 05:53:13 +0000 2020,20168,91,30.244761,-97.74896103,25151,####,############,0.343,0.496,0.633,0.513,0.234
Thu Jan 30 05:53:13 +0000 2020,81131,92,30.26623967,-97.7459085,9225,####,############,0.343,0.496,0.633,0.513,0.234
Thu Jan 30 05:37:18 +0000 2020,21353,93,30.26485415,-97.74384538,480992,######,##########,0.3,0.478,0.532,0.491,0.169
Thu Jan 30 05:51:24 +0000 2020,114262,94,30.24646077,-97.75078818,24276,#####,###########,0.521,0.365,0.418,0.392,0.327
Thu Jan 30 05:29:10 +0000 2020,75674,95,30.26910295,-97.74939537,420315,#####,############,0.291,0.54,0.537,0.503,0.168
Thu Jan 30 05:40:42 +0000 2020,9113,96,30.26377477,-97.77065992,9263,#####,############,0.444,0.412,0.37,0.355,0.252
Thu Jan 30 05:43:29 +0000 2020,16313,97,30.27073378,-97.753703,9241,#####,###########,0.369,0.559,0.619,0.464,0.202
Thu Jan 30 05:53:10 +0000 2020,32408,98,30.26910295,-97.74939537,420315,######,#####################,0.374,0.522,0.623,0.561,0.308
Thu Jan 30 05:31:05 +0000 2020,92501,99,30.26790958,-97.74931242,21714,#####,############,0.357,0.494,0.508,0.389,0.309
Thu Jan 30 05:50:26 +0000 2020,38244,100,30.24485972,-97.75716305,18417,######,#####################,0.485,0.483,0.44,0.356,0.35
Thu Jan 30 05:34:09 +0000 2020,146597,101,30.20155733,-97.66712666,9410,#####,#####################,0.49,0.435,0.413,0.393,0.374
Thu Jan 30 05:35:30 +0000 2020,6055,102,37.61635606,-122.3861504,19542,#####,###########,0.471,0.418,0.394,0.342,0.338
Thu Jan 30 05:35:25 +0000 2020,65556,103,37.76150825,-122.4257666,13338,#####,######################,0.282,0.558,0.637,0.579,0.234
Thu Jan 30 05:44:33 +0000 2020,101292,104,37.75968887,-122.4271774,9153,######,###########,0.412,0.436,0.552,0.42,0.248
Thu Jan 30 05:29:18 +0000 2020,32370,105,37.78594785,-122.4106178,202692,#####,############,0.286,0.592,0.464,0.558,0.111
Thu Jan 30 05:49:31 +0000 2020,15119,106,37.41918677,-122.2122015,22765,######,##########,0.428,0.499,0.549,0.422,0.274
Thu Jan 30 05:38:33 +0000 2020,32199,107,37.41576029,-122.1525514,14515,#####,#####################,0.424,0.514,0.541,0.443,0.341
Thu Jan 30 05:54:27 +0000 2020,25204,108,37.78260468,-122.407608,14608,#####,############,0.436,0.495,0.499,0.412,0.283
Thu Jan 30 05:43:25 +0000 2020,143441,109,30.27021141,-97.74971321,15478,######,##########,0.4,0.458,0.582,0.457,0.236
Thu Jan 30 05:47:48 +0000 2020,79458,110,30.24936408,-97.74947047,11368,####,######################,0.469,0.413,0.39,0.382,0.271
Thu Jan 30 05:43:56 +0000 2020,59949,111,30.24506613,-97.75152633,20922,#####,####################,0.366,0.517,0.666,0.557,0.238
Thu Jan 30 05:43:45 +0000 2020,45332,112,30.26910295,-97.74939537,420315,#####,############,0.212,0.74,0.579,0.543,0.166
Thu Jan 30 05:32:19 +0000 2020,84017,113,30.26429772,-97.73298025,15245,#####,#####################,0.401,0.484,0.524,0.435,0.349
Thu Jan 30 05:32:47 +0000 2020,20196,114,30.27203101,-97.75411069,140363,###,############,0.311,0.667,0.555,0.606,0.216
Thu Jan 30 05:30:44 +0000 2020,8363,115,30.26910295,-97.74939537,420315,######,##########,0.679,0.329,0.2,0.248,0.578
Thu Jan 30 05:34:03 +0000 2020,107491,116,30.26910295,-97.74939537,420315,#####,###########,0.51,0.459,0.45,0.401,0.394
Thu Jan 30 05:32:19 +0000 2020,28162,117,30.26910295,-97.74939537,420315,#####,######################,0.361,0.465,0.642,0.485,0.26
Thu Jan 30 05:52:31 +0000 2020,29201,118,30.26485415,-97.74384538,480992,######,###########,0.402,0.483,0.43,0.385,0.232
Thu Jan 30 05:28:55 +0000 2020,67720,119,30.25104621,-97.74932429,15326,#####,###########,0.392,0.476,0.563,0.453,0.299
Thu Jan 30 05:44:14 +0000 2020,66623,120,30.26540569,-97.74779141,46946,#####,############,0.37,0.469,0.566,0.443,0.232
Thu Jan 30 05:47:00 +0000 2020,149049,121,30.26906589,-97.74567246,103840,#####,##########,0.343,0.489,0.555,0.487,0.245
Thu Jan 30 05:27:26 +0000 2020,35487,122,30.26910295,-97.74939537,420315,####,##########,0.435,0.355,0.308,0.388,0.31
Thu Jan 30 05:27:21 +0000 2020,64818,123,30.26910295,-97.74939537,420315,######,###########,0.374,0.58,0.692,0.568,0.32
Thu Jan 30 05:43:24 +0000 2020,72638,124,30.24990933,-97.74953197,38046,#####,######################,0.361,0.526,0.474,0.411,0.166
Thu Jan 30 05:44:35 +0000 2020,143237,125,30.26790958,-97.74931242,21714,#####,###########,0.354,0.498,0.434,0.397,0.196
Thu Jan 30 05:44:00 +0000 2020,9684,126,30.25153462,-97.74902632,87899,#####,############,0.389,0.47,0.457,0.422,0.292
Thu Jan 30 05:43:57 +0000 2020,43597,127,30.25099397,-97.74896622,9508,#####,######################,0.404,0.441,0.535,0.425,0.317
Thu Jan 30 05:47:33 +0000 2020,96985,128,30.26790958,-97.74931242,21714,#####,############,0.426,0.45,0.532,0.561,0.321
Thu Jan 30 05:36:53 +0000 2020,39203,129,30.25103148,-97.754092,49904,######,##########,0.513,0.325,0.335,0.259,0.289
Thu Jan 30 05:27:29 +0000 2020,29829,130,30.26623967,-97.7459085,9225,#####,######################,0.281,0.571,0.557,0.543,0.22
Thu Jan 30 05:28:41 +0000 2020,73809,131,30.27073378,-97.753703,9241,######,##########,0.344,0.54,0.543,0.443,0.234
Thu Jan 30 05:32:37 +0000 2020,108235,132,30.20155733,-97.66712666,9410,#####,#####################,0.426,0.48,0.477,0.432,0.28
Thu Jan 30 05:37:49 +0000 2020,52643,133,39.84950188,-104.673872,23256,######,############,0.397,0.542,0.568,0.493,0.292
Thu Jan 30 05:28:49 +0000 2020,56925,134,39.76418105,-104.9040592,130371,#####,#####################,0.424,0.533,0.483,0.439,0.265
Thu Jan 30 05:32:58 +0000 2020,100934,135,39.84950188,-104.673872,23256,#####,#####################,0.438,0.42,0.37,0.429,0.303
Thu Jan 30 05:46:50 +0000 2020,28095,136,39.84950188,-104.673872,23256,#####,##########,0.406,0.508,0.587,0.473,0.24
Thu Jan 30 05:39:34 +0000 2020,105786,137,39.1910541,-106.8212485,122949,######,###########,0.358,0.534,0.428,0.447,0.211
Thu Jan 30 05:32:23 +0000 2020,87393,138,39.18619023,-106.8168686,166829,######,############,0.449,0.407,0.459,0.368,0.28
Thu Jan 30 05:39:40 +0000 2020,21099,139,39.20066427,-106.8279226,148540,######,##########,0.381,0.504,0.483,0.434,0.202
Thu Jan 30 05:44:23 +0000 2020,52380,140,39.20112782,-106.8312478,406978,#####,###########,0.426,0.51,0.396,0.361,0.334
Thu Jan 30 05:36:34 +0000 2020,137136,141,39.19330752,-106.8306457,321247,####,#####################,0.505,0.358,0.439,0.331,0.409
Thu Jan 30 05:47:09 +0000 2020,39341,142,39.21911097,-106.864015,54760,######,##########,0.479,0.442,0.478,0.411,0.343
Thu Jan 30 05:15:00 +0000 2020,2952,143,39.84950188,-104.673872,23256,#####,############,0.412,0.487,0.574,0.463,0.266
Thu Jan 30 05:18:55 +0000 2020,16138,144,30.20155733,-97.66712666,9410,#####,#####################,0.582,0.319,0.399,0.337,0.405
Thu Jan 30 05:01:46 +0000 2020,77239,145,30.25414147,-97.76231722,69230,#####,#####################,0.518,0.365,0.458,0.4,0.365
Thu Jan 30 05:09:05 +0000 2020,45578,146,30.25414348,-97.76233207,232554,#####,##########,0.363,0.519,0.502,0.484,0.251
Thu Jan 30 05:09:08 +0000 2020,62404,147,30.33075213,-97.73175715,14554,######,######################,0.535,0.375,0.368,0.324,0.358
Thu Jan 30 05:13:17 +0000 2020,64488,148,30.25573099,-97.76338577,316637,#####,######################,0.43,0.453,0.558,0.462,0.328
Thu Jan 30 05:19:41 +0000 2020,11715,149,30.26406815,-97.76726013,448862,######,############,0.484,0.486,0.483,0.451,0.375
Thu Jan 30 05:13:58 +0000 2020,3789,150,30.26910295,-97.74939537,420315,#####,###########,0.445,0.477,0.444,0.376,0.331
Thu Jan 30 05:03:30 +0000 2020,32721,151,30.26790958,-97.74931242,21714,#####,############,0.314,0.706,0.61,0.552,0.319
Thu Jan 30 05:08:30 +0000 2020,43068,152,30.26910295,-97.74939537,420315,####,#####################,0.36,0.458,0.728,0.537,0.188
Thu Jan 30 05:07:29 +0000 2020,143159,153,30.2686964,-97.7456148,9313,#####,#####################,0.424,0.403,0.497,0.383,0.31
Thu Jan 30 05:25:24 +0000 2020,25598,154,30.25067549,-97.74953485,10923,#####,#####################,0.482,0.405,0.445,0.36,0.38
Thu Jan 30 05:02:01 +0000 2020,5082,155,30.2630101,-97.72508165,316837,#####,##########,0.348,0.471,0.624,0.495,0.223
Thu Jan 30 05:08:15 +0000 2020,3015,156,30.26910295,-97.74939537,420315,#####,#####################,0.326,0.56,0.551,0.532,0.17
Thu Jan 30 05:08:17 +0000 2020,34161,157,30.31701576,-97.71956921,114556,#####,##########,0.337,0.555,0.579,0.492,0.225
Thu Jan 30 05:07:59 +0000 2020,48772,158,30.28112041,-97.74521112,153505,#####,############,0.431,0.434,0.401,0.426,0.285
Thu Jan 30 05:23:54 +0000 2020,7357,159,30.2697678,-97.74826616,78290,#####,#####################,0.485,0.331,0.35,0.264,0.343
Thu Jan 30 05:09:46 +0000 2020,7211,160,30.26271837,-97.75037169,43073,#####,#####################,0.528,0.431,0.424,0.363,0.432
Thu Jan 30 05:08:41 +0000 2020,47507,161,30.25457813,-97.769175,33362,#####,############,0.363,0.469,0.445,0.406,0.219
Thu Jan 30 05:19:36 +0000 2020,3288,162,30.24485972,-97.75716305,18417,#####,############,0.299,0.526,0.536,0.516,0.19
Thu Jan 30 05:26:50 +0000 2020,86568,163,30.28355245,-97.72256792,160579,####,#####################,0.459,0.467,0.547,0.462,0.317
Thu Jan 30 05:01:11 +0000 2020,43522,164,30.27055195,-97.74830663,18328,######,#####################,0.502,0.487,0.517,0.407,0.346
Thu Jan 30 05:20:44 +0000 2020,21773,165,30.26485415,-97.74384538,480992,#####,##########,0.398,0.484,0.596,0.458,0.219
Thu Jan 30 05:12:28 +0000 2020,78052,166,30.26790958,-97.74931242,21714,######,############,0.426,0.503,0.48,0.432,0.295
Thu Jan 30 05:25:03 +0000 2020,24637,167,30.26406815,-97.76726013,448862,#####,######################,0.333,0.475,0.496,0.471,0.205
Thu Jan 30 05:06:54 +0000 2020,106361,168,30.25104621,-97.74932429,15326,#####,###########,0.441,0.47,0.622,0.56,0.307
Thu Jan 30 05:25:28 +0000 2020,144041,169,30.26388597,-97.73797989,9382,#####,###########,0.389,0.455,0.619,0.544,0.212
Thu Jan 30 05:05:58 +0000 2020,59375,170,30.26175155,-97.76181408,22071,#####,###########,0.661,0.29,0.281,0.372,0.611
Thu Jan 30 05:03:28 +0000 2020,16561,171,30.20155733,-97.66712666,9410,#####,#####################,0.455,0.447,0.412,0.371,0.369
Thu Jan 30 05:04:53 +0000 2020,158791,172,37.53706067,-122.3278894,29119,######,##########,0.367,0.468,0.601,0.578,0.267
Thu Jan 30 05:24:00 +0000 2020,6925,173,37.61635606,-122.3861504,19542,######,###########,0.468,0.403,0.494,0.416,0.283
Thu Jan 30 05:05:42 +0000 2020,30442,174,30.25103148,-97.754092,49904,#####,####################,0.383,0.515,0.516,0.447,0.244
Thu Jan 30 05:23:33 +0000 2020,14602,175,30.26623967,-97.7459085,9225,#####,#####################,0.353,0.577,0.576,0.522,0.243
Thu Jan 30 05:05:36 +0000 2020,55845,176,30.26790958,-97.74931242,21714,######,###########,0.486,0.437,0.336,0.338,0.346
Thu Jan 30 05:16:13 +0000 2020,101606,177,30.27253137,-97.75362253,45331,#####,############,0.689,0.186,0.141,0.224,0.581
Thu Jan 30 05:16:08 +0000 2020,25862,178,30.25414147,-97.76231722,69230,######,######################,0.498,0.513,0.46,0.402,0.433
Thu Jan 30 05:14:41 +0000 2020,53010,179,30.26280055,-97.72506842,123535,#####,####################,0.501,0.432,0.315,0.327,0.368
Thu Jan 30 05:25:23 +0000 2020,140951,180,30.26910295,-97.74939537,420315,#####,######################,0.375,0.48,0.56,0.463,0.251
Thu Jan 30 05:02:36 +0000 2020,58695,181,30.244761,-97.74896103,25151,#####,######################,0.275,0.485,0.541,0.559,0.193
Thu Jan 30 05:26:29 +0000 2020,95673,182,30.26910295,-97.74939537,420315,#####,#####################,0.342,0.618,0.495,0.502,0.243
Thu Jan 30 05:05:58 +0000 2020,9967,183,30.25104621,-97.74932429,15326,#####,###########,0.467,0.424,0.349,0.324,0.29
Thu Jan 30 05:25:11 +0000 2020,33912,184,30.244761,-97.74896103,25151,#####,######################,0.504,0.415,0.418,0.361,0.403
Thu Jan 30 05:13:41 +0000 2020,142073,185,39.05274305,-94.60361087,34087,#####,####################,0.381,0.487,0.48,0.425,0.225
Thu Jan 30 05:21:26 +0000 2020,118188,186,38.99895248,-94.59393453,19890,#####,######################,0.507,0.432,0.38,0.334,0.345
Thu Jan 30 05:08:57 +0000 2020,28125,187,39.03697899,-94.58718672,119316,#####,############,0.475,0.475,0.444,0.402,0.299
Thu Jan 30 05:23:30 +0000 2020,94163,188,37.78312959,-122.4038744,122188,#####,############,0.416,0.454,0.522,0.428,0.315
Thu Jan 30 05:26:05 +0000 2020,73476,189,37.78647887,-122.4035633,57155,######,###########,0.313,0.552,0.609,0.568,0.164
Thu Jan 30 05:24:49 +0000 2020,136936,190,37.7795577,-122.3979092,10349,#####,###########,0.514,0.348,0.308,0.331,0.395
Thu Jan 30 05:25:25 +0000 2020,60742,191,37.7825583,-122.4001254,210176,#####,##########,0.294,0.48,0.74,0.589,0.205
Thu Jan 30 05:22:48 +0000 2020,82161,192,37.78571737,-122.3992462,125153,#####,##########,0.59,0.357,0.364,0.374,0.408
Thu Jan 30 05:01:33 +0000 2020,2201,193,37.78819161,-122.4012136,16002,#####,##########,0.549,0.417,0.407,0.373,0.449
Thu Jan 30 05:01:31 +0000 2020,95206,194,37.76144464,-122.4239588,10594,#####,############,0.346,0.481,0.648,0.55,0.246
Thu Jan 30 05:14:41 +0000 2020,23949,195,37.78260468,-122.407608,14608,#####,##########,0.514,0.366,0.355,0.371,0.381
Thu Jan 30 05:05:38 +0000 2020,33692,196,37.7825583,-122.4001254,210176,#####,#####################,0.426,0.49,0.473,0.382,0.248
Thu Jan 30 05:18:02 +0000 2020,1670,197,37.78543595,-122.4039495,19199,#####,###################,0.426,0.498,0.522,0.447,0.299
Thu Jan 30 05:10:56 +0000 2020,79549,198,37.78312959,-122.4038744,122188,#####,###########,0.5,0.409,0.383,0.37,0.294
Thu Jan 30 05:18:34 +0000 2020,53575,199,37.78312959,-122.4038744,122188,#####,##########,0.45,0.367,0.49,0.396,0.322
Thu Jan 30 05:11:40 +0000 2020,22421,200,37.7815086,-122.4050282,86754,#####,######################,0.352,0.48,0.458,0.516,0.213
Thu Jan 30 05:12:50 +0000 2020,93317,201,37.78312959,-122.4038744,122188,#####,####################,0.354,0.52,0.535,0.407,0.238
Thu Jan 30 05:17:23 +0000 2020,18641,202,37.78260468,-122.407608,14608,#####,###########,0.352,0.462,0.434,0.426,0.268
